,ECG I,ECG I filtered
0 days 00:00:03.790000,-0.075,-0.075
0 days 00:00:03.792000,-0.06,-0.07
0 days 00:00:03.794000,-0.05,-0.065
0 days 00:00:03.796000,-0.025,-0.06
0 days 00:00:03.798000,-0.025,-0.055
0 days 00:00:03.800000,-0.025,-0.055
0 days 00:00:03.802000,-0.03,-0.055
0 days 00:00:03.804000,-0.045,-0.06
0 days 00:00:03.806000,-0.055,-0.065
0 days 00:00:03.808000,-0.06,-0.065
0 days 00:00:03.810000,-0.08,-0.07
0 days 00:00:03.812000,-0.075,-0.075
0 days 00:00:03.814000,-0.07,-0.08
0 days 00:00:03.816000,-0.06,-0.085
0 days 00:00:03.818000,-0.035,-0.085
0 days 00:00:03.820000,-0.035,-0.09
0 days 00:00:03.822000,-0.055,-0.09
0 days 00:00:03.824000,-0.055,-0.09
0 days 00:00:03.826000,-0.065,-0.09
0 days 00:00:03.828000,-0.075,-0.09
0 days 00:00:03.830000,-0.075,-0.09
0 days 00:00:03.832000,-0.065,-0.085
0 days 00:00:03.834000,-0.045,-0.085
0 days 00:00:03.836000,-0.035,-0.08
0 days 00:00:03.838000,-0.025,-0.08
0 days 00:00:03.840000,-0.035,-0.075
0 days 00:00:03.842000,-0.035,-0.07
0 days 00:00:03.844000,-0.04,-0.07
0 days 00:00:03.846000,-0.045,-0.065
0 days 00:00:03.848000,-0.06,-0.065
0 days 00:00:03.850000,-0.06,-0.065
0 days 00:00:03.852000,-0.04,-0.065
0 days 00:00:03.854000,-0.035,-0.065
0 days 00:00:03.856000,-0.03,-0.07
0 days 00:00:03.858000,-0.02,-0.07
0 days 00:00:03.860000,-0.015,-0.075
0 days 00:00:03.862000,-0.03,-0.075
0 days 00:00:03.864000,-0.035,-0.075
0 days 00:00:03.866000,-0.04,-0.07
0 days 00:00:03.868000,-0.05,-0.07
0 days 00:00:03.870000,-0.045,-0.065
0 days 00:00:03.872000,-0.05,-0.06
0 days 00:00:03.874000,-0.025,-0.055
0 days 00:00:03.876000,0.005,-0.045
0 days 00:00:03.878000,0.01,-0.04
0 days 00:00:03.880000,0.02,-0.035
0 days 00:00:03.882000,0.03,-0.035
0 days 00:00:03.884000,0.035,-0.03
0 days 00:00:03.886000,0.03,-0.025
0 days 00:00:03.888000,0.035,-0.02
0 days 00:00:03.890000,0.025,-0.015
0 days 00:00:03.892000,0.04,-0.01
0 days 00:00:03.894000,0.045,0.0
0 days 00:00:03.896000,0.055,0.005
0 days 00:00:03.898000,0.065,0.01
0 days 00:00:03.900000,0.075,0.015
0 days 00:00:03.902000,0.065,0.02
0 days 00:00:03.904000,0.055,0.02
0 days 00:00:03.906000,0.045,0.025
0 days 00:00:03.908000,0.04,0.025
0 days 00:00:03.910000,0.055,0.03
0 days 00:00:03.912000,0.065,0.03
0 days 00:00:03.914000,0.09,0.035
0 days 00:00:03.916000,0.105,0.04
0 days 00:00:03.918000,0.125,0.045
0 days 00:00:03.920000,0.13,0.045
0 days 00:00:03.922000,0.095,0.05
0 days 00:00:03.924000,0.09,0.055
0 days 00:00:03.926000,0.1,0.06
0 days 00:00:03.928000,0.09,0.06
0 days 00:00:03.930000,0.095,0.06
0 days 00:00:03.932000,0.1,0.06
0 days 00:00:03.934000,0.11,0.06
0 days 00:00:03.936000,0.125,0.06
0 days 00:00:03.938000,0.135,0.06
0 days 00:00:03.940000,0.145,0.065
0 days 00:00:03.942000,0.145,0.065
0 days 00:00:03.944000,0.13,0.07
0 days 00:00:03.946000,0.135,0.075
0 days 00:00:03.948000,0.12,0.08
0 days 00:00:03.950000,0.125,0.085
0 days 00:00:03.952000,0.125,0.09
0 days 00:00:03.954000,0.135,0.09
0 days 00:00:03.956000,0.145,0.095
0 days 00:00:03.958000,0.155,0.1
0 days 00:00:03.960000,0.17,0.105
0 days 00:00:03.962000,0.16,0.11
0 days 00:00:03.964000,0.165,0.11
0 days 00:00:03.966000,0.165,0.115
0 days 00:00:03.968000,0.155,0.115
0 days 00:00:03.970000,0.155,0.115
0 days 00:00:03.972000,0.16,0.115
0 days 00:00:03.974000,0.155,0.115
0 days 00:00:03.976000,0.165,0.115
0 days 00:00:03.978000,0.18,0.11
0 days 00:00:03.980000,0.165,0.105
0 days 00:00:03.982000,0.16,0.1
0 days 00:00:03.984000,0.16,0.1
0 days 00:00:03.986000,0.16,0.1
0 days 00:00:03.988000,0.14,0.095
0 days 00:00:03.990000,0.13,0.095
0 days 00:00:03.992000,0.14,0.095
0 days 00:00:03.994000,0.14,0.095
0 days 00:00:03.996000,0.135,0.095
0 days 00:00:03.998000,0.135,0.095
0 days 00:00:04,0.13,0.09
0 days 00:00:04.002000,0.11,0.085
0 days 00:00:04.004000,0.11,0.085
0 days 00:00:04.006000,0.095,0.08
0 days 00:00:04.008000,0.09,0.075
0 days 00:00:04.010000,0.095,0.075
0 days 00:00:04.012000,0.105,0.075
0 days 00:00:04.014000,0.12,0.07
0 days 00:00:04.016000,0.125,0.07
0 days 00:00:04.018000,0.12,0.065
0 days 00:00:04.020000,0.11,0.06
0 days 00:00:04.022000,0.105,0.055
0 days 00:00:04.024000,0.09,0.05
0 days 00:00:04.026000,0.085,0.045
0 days 00:00:04.028000,0.07,0.04
0 days 00:00:04.030000,0.085,0.04
0 days 00:00:04.032000,0.105,0.035
0 days 00:00:04.034000,0.1,0.035
0 days 00:00:04.036000,0.105,0.04
0 days 00:00:04.038000,0.1,0.04
0 days 00:00:04.040000,0.095,0.035
0 days 00:00:04.042000,0.08,0.035
0 days 00:00:04.044000,0.07,0.03
0 days 00:00:04.046000,0.075,0.025
0 days 00:00:04.048000,0.055,0.02
0 days 00:00:04.050000,0.07,0.015
0 days 00:00:04.052000,0.07,0.01
0 days 00:00:04.054000,0.08,0.01
0 days 00:00:04.056000,0.085,0.01
0 days 00:00:04.058000,0.1,0.015
0 days 00:00:04.060000,0.085,0.02
0 days 00:00:04.062000,0.065,0.025
0 days 00:00:04.064000,0.06,0.03
0 days 00:00:04.066000,0.05,0.035
0 days 00:00:04.068000,0.05,0.04
0 days 00:00:04.070000,0.055,0.04
0 days 00:00:04.072000,0.07,0.04
0 days 00:00:04.074000,0.08,0.035
0 days 00:00:04.076000,0.085,0.03
0 days 00:00:04.078000,0.085,0.025
0 days 00:00:04.080000,0.07,0.02
0 days 00:00:04.082000,0.065,0.015
0 days 00:00:04.084000,0.065,0.015
0 days 00:00:04.086000,0.045,0.015
0 days 00:00:04.088000,0.065,0.015
0 days 00:00:04.090000,0.065,0.015
0 days 00:00:04.092000,0.065,0.015
0 days 00:00:04.094000,0.07,0.015
0 days 00:00:04.096000,0.06,0.01
0 days 00:00:04.098000,0.07,0.005
0 days 00:00:04.100000,0.06,-0.005
0 days 00:00:04.102000,0.035,-0.01
0 days 00:00:04.104000,0.03,-0.015
0 days 00:00:04.106000,0.04,-0.015
0 days 00:00:04.108000,0.055,-0.005
0 days 00:00:04.110000,0.085,0.015
0 days 00:00:04.112000,0.13,0.045
0 days 00:00:04.114000,0.185,0.09
0 days 00:00:04.116000,0.235,0.145
0 days 00:00:04.118000,0.29,0.21
0 days 00:00:04.120000,0.33,0.285
0 days 00:00:04.122000,0.395,0.365
0 days 00:00:04.124000,0.5,0.445
0 days 00:00:04.126000,0.605,0.52
0 days 00:00:04.128000,0.705,0.585
0 days 00:00:04.130000,0.755,0.63
0 days 00:00:04.132000,0.755,0.655
0 days 00:00:04.134000,0.74,0.655
0 days 00:00:04.136000,0.695,0.63
0 days 00:00:04.138000,0.615,0.57
0 days 00:00:04.140000,0.515,0.49
0 days 00:00:04.142000,0.43,0.39
0 days 00:00:04.144000,0.325,0.28
0 days 00:00:04.146000,0.19,0.165
0 days 00:00:04.148000,0.07,0.065
0 days 00:00:04.150000,-0.015,-0.015
0 days 00:00:04.152000,-0.045,-0.075
0 days 00:00:04.154000,-0.04,-0.105
0 days 00:00:04.156000,-0.02,-0.115
0 days 00:00:04.158000,0.015,-0.1
0 days 00:00:04.160000,0.025,-0.08
0 days 00:00:04.162000,0.025,-0.05
0 days 00:00:04.164000,0.04,-0.02
0 days 00:00:04.166000,0.06,0.005
0 days 00:00:04.168000,0.085,0.02
0 days 00:00:04.170000,0.09,0.03
0 days 00:00:04.172000,0.1,0.03
0 days 00:00:04.174000,0.12,0.03
0 days 00:00:04.176000,0.11,0.03
0 days 00:00:04.178000,0.09,0.03
0 days 00:00:04.180000,0.075,0.03
0 days 00:00:04.182000,0.07,0.035
0 days 00:00:04.184000,0.065,0.04
0 days 00:00:04.186000,0.07,0.04
0 days 00:00:04.188000,0.07,0.04
0 days 00:00:04.190000,0.085,0.04
0 days 00:00:04.192000,0.09,0.035
0 days 00:00:04.194000,0.105,0.03
0 days 00:00:04.196000,0.105,0.025
0 days 00:00:04.198000,0.11,0.02
0 days 00:00:04.200000,0.095,0.015
0 days 00:00:04.202000,0.095,0.015
0 days 00:00:04.204000,0.085,0.015
0 days 00:00:04.206000,0.085,0.015
0 days 00:00:04.208000,0.085,0.02
0 days 00:00:04.210000,0.1,0.02
0 days 00:00:04.212000,0.11,0.025
0 days 00:00:04.214000,0.12,0.025
0 days 00:00:04.216000,0.13,0.025
0 days 00:00:04.218000,0.11,0.03
0 days 00:00:04.220000,0.09,0.03
0 days 00:00:04.222000,0.075,0.025
0 days 00:00:04.224000,0.07,0.025
0 days 00:00:04.226000,0.07,0.025
0 days 00:00:04.228000,0.075,0.025
0 days 00:00:04.230000,0.095,0.025
0 days 00:00:04.232000,0.115,0.025
0 days 00:00:04.234000,0.125,0.025
0 days 00:00:04.236000,0.13,0.03
0 days 00:00:04.238000,0.125,0.03
0 days 00:00:04.240000,0.115,0.03
0 days 00:00:04.242000,0.105,0.03
0 days 00:00:04.244000,0.1,0.03
0 days 00:00:04.246000,0.105,0.03
0 days 00:00:04.248000,0.11,0.03
0 days 00:00:04.250000,0.12,0.03
0 days 00:00:04.252000,0.125,0.03
0 days 00:00:04.254000,0.125,0.035
0 days 00:00:04.256000,0.13,0.035
0 days 00:00:04.258000,0.13,0.04
0 days 00:00:04.260000,0.105,0.045
0 days 00:00:04.262000,0.105,0.05
0 days 00:00:04.264000,0.12,0.055
0 days 00:00:04.266000,0.105,0.06
0 days 00:00:04.268000,0.11,0.065
0 days 00:00:04.270000,0.12,0.065
0 days 00:00:04.272000,0.13,0.07
0 days 00:00:04.274000,0.145,0.065
0 days 00:00:04.276000,0.165,0.065
0 days 00:00:04.278000,0.15,0.06
0 days 00:00:04.280000,0.14,0.055
0 days 00:00:04.282000,0.13,0.05
0 days 00:00:04.284000,0.125,0.05
0 days 00:00:04.286000,0.13,0.05
0 days 00:00:04.288000,0.13,0.05
0 days 00:00:04.290000,0.14,0.055
0 days 00:00:04.292000,0.14,0.055
0 days 00:00:04.294000,0.145,0.06
0 days 00:00:04.296000,0.165,0.065
0 days 00:00:04.298000,0.17,0.07
0 days 00:00:04.300000,0.16,0.075
0 days 00:00:04.302000,0.16,0.08
0 days 00:00:04.304000,0.165,0.085
0 days 00:00:04.306000,0.16,0.095
0 days 00:00:04.308000,0.185,0.1
0 days 00:00:04.310000,0.18,0.11
0 days 00:00:04.312000,0.195,0.12
0 days 00:00:04.314000,0.2,0.125
0 days 00:00:04.316000,0.21,0.13
0 days 00:00:04.318000,0.205,0.135
0 days 00:00:04.320000,0.2,0.14
0 days 00:00:04.322000,0.2,0.14
0 days 00:00:04.324000,0.2,0.14
0 days 00:00:04.326000,0.2,0.145
0 days 00:00:04.328000,0.215,0.145
0 days 00:00:04.330000,0.225,0.15
0 days 00:00:04.332000,0.25,0.155
0 days 00:00:04.334000,0.26,0.165
0 days 00:00:04.336000,0.27,0.17
0 days 00:00:04.338000,0.255,0.18
0 days 00:00:04.340000,0.255,0.185
0 days 00:00:04.342000,0.26,0.19
0 days 00:00:04.344000,0.26,0.19
0 days 00:00:04.346000,0.245,0.19
0 days 00:00:04.348000,0.26,0.19
0 days 00:00:04.350000,0.27,0.19
0 days 00:00:04.352000,0.265,0.185
0 days 00:00:04.354000,0.27,0.185
0 days 00:00:04.356000,0.255,0.185
0 days 00:00:04.358000,0.265,0.185
0 days 00:00:04.360000,0.26,0.19
0 days 00:00:04.362000,0.245,0.195
0 days 00:00:04.364000,0.24,0.195
0 days 00:00:04.366000,0.235,0.195
0 days 00:00:04.368000,0.24,0.195
0 days 00:00:04.370000,0.255,0.19
0 days 00:00:04.372000,0.235,0.19
0 days 00:00:04.374000,0.24,0.18
0 days 00:00:04.376000,0.24,0.175
0 days 00:00:04.378000,0.22,0.165
0 days 00:00:04.380000,0.2,0.155
0 days 00:00:04.382000,0.18,0.145
0 days 00:00:04.384000,0.165,0.135
0 days 00:00:04.386000,0.15,0.125
0 days 00:00:04.388000,0.155,0.11
0 days 00:00:04.390000,0.155,0.1
0 days 00:00:04.392000,0.15,0.09
0 days 00:00:04.394000,0.135,0.075
0 days 00:00:04.396000,0.12,0.06
0 days 00:00:04.398000,0.09,0.05
0 days 00:00:04.400000,0.085,0.04
0 days 00:00:04.402000,0.07,0.03
0 days 00:00:04.404000,0.05,0.02
0 days 00:00:04.406000,0.04,0.01
0 days 00:00:04.408000,0.045,0.005
0 days 00:00:04.410000,0.045,0.0
0 days 00:00:04.412000,0.04,-0.01
0 days 00:00:04.414000,0.05,-0.015
0 days 00:00:04.416000,0.045,-0.02
0 days 00:00:04.418000,0.03,-0.025
0 days 00:00:04.420000,0.01,-0.03
0 days 00:00:04.422000,-0.005,-0.04
0 days 00:00:04.424000,-0.015,-0.045
0 days 00:00:04.426000,-0.025,-0.05
0 days 00:00:04.428000,-0.015,-0.055
0 days 00:00:04.430000,-0.01,-0.055
0 days 00:00:04.432000,0.0,-0.06
0 days 00:00:04.434000,0.005,-0.06
0 days 00:00:04.436000,0.005,-0.065
0 days 00:00:04.438000,-0.02,-0.065
0 days 00:00:04.440000,-0.03,-0.07
0 days 00:00:04.442000,-0.045,-0.08
0 days 00:00:04.444000,-0.06,-0.085
0 days 00:00:04.446000,-0.04,-0.095
0 days 00:00:04.448000,-0.04,-0.1
0 days 00:00:04.450000,-0.02,-0.105
0 days 00:00:04.452000,-0.015,-0.11
0 days 00:00:04.454000,-0.015,-0.11
0 days 00:00:04.456000,-0.01,-0.11
0 days 00:00:04.458000,-0.02,-0.11
0 days 00:00:04.460000,-0.05,-0.105
0 days 00:00:04.462000,-0.055,-0.105
0 days 00:00:04.464000,-0.075,-0.1
0 days 00:00:04.466000,-0.06,-0.1
0 days 00:00:04.468000,-0.055,-0.1
0 days 00:00:04.470000,-0.035,-0.1
0 days 00:00:04.472000,-0.03,-0.105
0 days 00:00:04.474000,-0.03,-0.105
0 days 00:00:04.476000,-0.025,-0.105
0 days 00:00:04.478000,-0.04,-0.105
0 days 00:00:04.480000,-0.06,-0.105
0 days 00:00:04.482000,-0.055,-0.105
0 days 00:00:04.484000,-0.055,-0.105
0 days 00:00:04.486000,-0.065,-0.105
0 days 00:00:04.488000,-0.06,-0.11
0 days 00:00:04.490000,-0.05,-0.11
0 days 00:00:04.492000,-0.03,-0.115
0 days 00:00:04.494000,-0.02,-0.115
0 days 00:00:04.496000,-0.02,-0.115
0 days 00:00:04.498000,-0.03,-0.12
0 days 00:00:04.500000,-0.04,-0.12
0 days 00:00:04.502000,-0.05,-0.115
0 days 00:00:04.504000,-0.065,-0.115
0 days 00:00:04.506000,-0.07,-0.11
0 days 00:00:04.508000,-0.055,-0.11
0 days 00:00:04.510000,-0.035,-0.105
0 days 00:00:04.512000,-0.025,-0.105
0 days 00:00:04.514000,-0.02,-0.105
0 days 00:00:04.516000,-0.015,-0.105
0 days 00:00:04.518000,-0.03,-0.105
0 days 00:00:04.520000,-0.045,-0.105
0 days 00:00:04.522000,-0.045,-0.11
0 days 00:00:04.524000,-0.05,-0.11
0 days 00:00:04.526000,-0.04,-0.11
0 days 00:00:04.528000,-0.025,-0.11
0 days 00:00:04.530000,-0.015,-0.105
0 days 00:00:04.532000,-0.015,-0.105
0 days 00:00:04.534000,0.0,-0.1
0 days 00:00:04.536000,-0.01,-0.095
0 days 00:00:04.538000,-0.035,-0.095
0 days 00:00:04.540000,-0.055,-0.09
0 days 00:00:04.542000,-0.04,-0.09
0 days 00:00:04.544000,-0.065,-0.09
0 days 00:00:04.546000,-0.04,-0.095
0 days 00:00:04.548000,-0.05,-0.1
0 days 00:00:04.550000,-0.035,-0.1
0 days 00:00:04.552000,-0.01,-0.105
0 days 00:00:04.554000,0.005,-0.105
0 days 00:00:04.556000,-0.02,-0.105
0 days 00:00:04.558000,-0.04,-0.105
0 days 00:00:04.560000,-0.04,-0.1
0 days 00:00:04.562000,-0.04,-0.09
0 days 00:00:04.564000,-0.065,-0.085
0 days 00:00:04.566000,-0.045,-0.08
0 days 00:00:04.568000,-0.035,-0.075
0 days 00:00:04.570000,-0.025,-0.07
0 days 00:00:04.572000,-0.025,-0.07
0 days 00:00:04.574000,-0.01,-0.075
0 days 00:00:04.576000,-0.015,-0.08
0 days 00:00:04.578000,-0.035,-0.085
0 days 00:00:04.580000,-0.035,-0.09
0 days 00:00:04.582000,-0.045,-0.095
0 days 00:00:04.584000,-0.05,-0.095
0 days 00:00:04.586000,-0.05,-0.095
0 days 00:00:04.588000,-0.04,-0.09
0 days 00:00:04.590000,-0.04,-0.09
0 days 00:00:04.592000,-0.045,-0.085
0 days 00:00:04.594000,-0.025,-0.085
0 days 00:00:04.596000,-0.04,-0.085
0 days 00:00:04.598000,-0.045,-0.085
0 days 00:00:04.600000,-0.055,-0.085
0 days 00:00:04.602000,-0.07,-0.09
0 days 00:00:04.604000,-0.07,-0.09
0 days 00:00:04.606000,-0.06,-0.09
0 days 00:00:04.608000,-0.045,-0.09
0 days 00:00:04.610000,-0.035,-0.09
0 days 00:00:04.612000,-0.03,-0.085
0 days 00:00:04.614000,-0.025,-0.08
0 days 00:00:04.616000,-0.025,-0.08
0 days 00:00:04.618000,-0.035,-0.08
0 days 00:00:04.620000,-0.05,-0.08
0 days 00:00:04.622000,-0.075,-0.085
0 days 00:00:04.624000,-0.1,-0.09
0 days 00:00:04.626000,-0.07,-0.095
0 days 00:00:04.628000,-0.05,-0.1
0 days 00:00:04.630000,-0.05,-0.1
0 days 00:00:04.632000,-0.04,-0.105
0 days 00:00:04.634000,-0.035,-0.105
0 days 00:00:04.636000,-0.04,-0.11
0 days 00:00:04.638000,-0.05,-0.105
0 days 00:00:04.640000,-0.06,-0.105
0 days 00:00:04.642000,-0.075,-0.105
0 days 00:00:04.644000,-0.07,-0.105
0 days 00:00:04.646000,-0.05,-0.1
0 days 00:00:04.648000,-0.05,-0.1
0 days 00:00:04.650000,-0.05,-0.095
0 days 00:00:04.652000,-0.04,-0.095
0 days 00:00:04.654000,-0.035,-0.095
0 days 00:00:04.656000,-0.045,-0.095
0 days 00:00:04.658000,-0.06,-0.095
0 days 00:00:04.660000,-0.07,-0.1
0 days 00:00:04.662000,-0.075,-0.1
0 days 00:00:04.664000,-0.08,-0.105
0 days 00:00:04.666000,-0.075,-0.105
0 days 00:00:04.668000,-0.04,-0.105
0 days 00:00:04.670000,-0.045,-0.11
0 days 00:00:04.672000,-0.04,-0.11
0 days 00:00:04.674000,-0.035,-0.11
0 days 00:00:04.676000,-0.055,-0.11
0 days 00:00:04.678000,-0.055,-0.11
0 days 00:00:04.680000,-0.065,-0.115
0 days 00:00:04.682000,-0.075,-0.115
0 days 00:00:04.684000,-0.075,-0.115
0 days 00:00:04.686000,-0.06,-0.12
0 days 00:00:04.688000,-0.065,-0.12
0 days 00:00:04.690000,-0.06,-0.12
0 days 00:00:04.692000,-0.055,-0.115
0 days 00:00:04.694000,-0.045,-0.11
0 days 00:00:04.696000,-0.045,-0.105
0 days 00:00:04.698000,-0.06,-0.1
0 days 00:00:04.700000,-0.08,-0.095
0 days 00:00:04.702000,-0.07,-0.09
0 days 00:00:04.704000,-0.075,-0.09
0 days 00:00:04.706000,-0.06,-0.09
0 days 00:00:04.708000,-0.055,-0.09
0 days 00:00:04.710000,-0.065,-0.095
0 days 00:00:04.712000,-0.045,-0.1
0 days 00:00:04.714000,-0.045,-0.105
0 days 00:00:04.716000,-0.05,-0.105
0 days 00:00:04.718000,-0.065,-0.11
0 days 00:00:04.720000,-0.065,-0.11
0 days 00:00:04.722000,-0.075,-0.105
0 days 00:00:04.724000,-0.08,-0.105
0 days 00:00:04.726000,-0.065,-0.1
0 days 00:00:04.728000,-0.055,-0.095
0 days 00:00:04.730000,-0.05,-0.095
0 days 00:00:04.732000,-0.05,-0.09
0 days 00:00:04.734000,-0.04,-0.09
0 days 00:00:04.736000,-0.06,-0.09
0 days 00:00:04.738000,-0.065,-0.095
0 days 00:00:04.740000,-0.075,-0.095
0 days 00:00:04.742000,-0.085,-0.1
0 days 00:00:04.744000,-0.08,-0.105
0 days 00:00:04.746000,-0.065,-0.11
0 days 00:00:04.748000,-0.06,-0.11
0 days 00:00:04.750000,-0.055,-0.115
0 days 00:00:04.752000,-0.05,-0.11
0 days 00:00:04.754000,-0.035,-0.11
0 days 00:00:04.756000,-0.065,-0.105
0 days 00:00:04.758000,-0.07,-0.1
0 days 00:00:04.760000,-0.055,-0.095
0 days 00:00:04.762000,-0.085,-0.09
0 days 00:00:04.764000,-0.07,-0.085
0 days 00:00:04.766000,-0.065,-0.085
0 days 00:00:04.768000,-0.045,-0.09
0 days 00:00:04.770000,-0.06,-0.095
0 days 00:00:04.772000,-0.05,-0.105
0 days 00:00:04.774000,-0.045,-0.11
0 days 00:00:04.776000,-0.07,-0.115
0 days 00:00:04.778000,-0.08,-0.12
0 days 00:00:04.780000,-0.075,-0.125
0 days 00:00:04.782000,-0.085,-0.12
0 days 00:00:04.784000,-0.09,-0.115
0 days 00:00:04.786000,-0.07,-0.11
0 days 00:00:04.788000,-0.05,-0.105
0 days 00:00:04.790000,-0.055,-0.095
0 days 00:00:04.792000,-0.045,-0.09
0 days 00:00:04.794000,-0.04,-0.085
0 days 00:00:04.796000,-0.05,-0.085
0 days 00:00:04.798000,-0.075,-0.085
0 days 00:00:04.800000,-0.075,-0.085
0 days 00:00:04.802000,-0.09,-0.09
0 days 00:00:04.804000,-0.09,-0.09
0 days 00:00:04.806000,-0.075,-0.095
0 days 00:00:04.808000,-0.07,-0.095
0 days 00:00:04.810000,-0.06,-0.095
0 days 00:00:04.812000,-0.045,-0.095
0 days 00:00:04.814000,-0.05,-0.095
0 days 00:00:04.816000,-0.065,-0.095
0 days 00:00:04.818000,-0.08,-0.09
0 days 00:00:04.820000,-0.075,-0.09
0 days 00:00:04.822000,-0.075,-0.09
0 days 00:00:04.824000,-0.065,-0.09
0 days 00:00:04.826000,-0.065,-0.09
0 days 00:00:04.828000,-0.065,-0.09
0 days 00:00:04.830000,-0.065,-0.09
0 days 00:00:04.832000,-0.05,-0.095
0 days 00:00:04.834000,-0.065,-0.095
0 days 00:00:04.836000,-0.075,-0.095
0 days 00:00:04.838000,-0.075,-0.1
0 days 00:00:04.840000,-0.075,-0.1
0 days 00:00:04.842000,-0.085,-0.1
0 days 00:00:04.844000,-0.075,-0.1
0 days 00:00:04.846000,-0.06,-0.095
0 days 00:00:04.848000,-0.04,-0.09
0 days 00:00:04.850000,-0.04,-0.085
0 days 00:00:04.852000,-0.03,-0.08
0 days 00:00:04.854000,-0.03,-0.075
0 days 00:00:04.856000,-0.045,-0.065
0 days 00:00:04.858000,-0.055,-0.06
0 days 00:00:04.860000,-0.055,-0.06
0 days 00:00:04.862000,-0.05,-0.055
0 days 00:00:04.864000,-0.045,-0.055
0 days 00:00:04.866000,-0.04,-0.055
0 days 00:00:04.868000,-0.035,-0.055
0 days 00:00:04.870000,-0.015,-0.055
0 days 00:00:04.872000,0.0,-0.055
0 days 00:00:04.874000,-0.005,-0.05
0 days 00:00:04.876000,-0.015,-0.05
0 days 00:00:04.878000,-0.02,-0.05
0 days 00:00:04.880000,-0.02,-0.045
0 days 00:00:04.882000,-0.015,-0.04
0 days 00:00:04.884000,0.0,-0.035
0 days 00:00:04.886000,-0.01,-0.035
0 days 00:00:04.888000,0.005,-0.03
0 days 00:00:04.890000,0.01,-0.025
0 days 00:00:04.892000,0.01,-0.025
0 days 00:00:04.894000,-0.005,-0.025
0 days 00:00:04.896000,-0.01,-0.025
0 days 00:00:04.898000,-0.015,-0.025
0 days 00:00:04.900000,-0.015,-0.03
0 days 00:00:04.902000,-0.025,-0.03
0 days 00:00:04.904000,-0.02,-0.035
0 days 00:00:04.906000,-0.01,-0.04
0 days 00:00:04.908000,0.01,-0.04
0 days 00:00:04.910000,0.0,-0.045
0 days 00:00:04.912000,-0.005,-0.045
0 days 00:00:04.914000,-0.03,-0.05
0 days 00:00:04.916000,-0.045,-0.05
0 days 00:00:04.918000,-0.06,-0.055
0 days 00:00:04.920000,-0.065,-0.06
0 days 00:00:04.922000,-0.08,-0.06
0 days 00:00:04.924000,-0.08,-0.065
0 days 00:00:04.926000,-0.07,-0.07
0 days 00:00:04.928000,-0.065,-0.07
0 days 00:00:04.930000,-0.05,-0.075
0 days 00:00:04.932000,-0.045,-0.075
0 days 00:00:04.934000,-0.06,-0.075
0 days 00:00:04.936000,-0.065,-0.075
0 days 00:00:04.938000,-0.075,-0.08
0 days 00:00:04.940000,-0.09,-0.08
0 days 00:00:04.942000,-0.105,-0.08
0 days 00:00:04.944000,-0.085,-0.08
0 days 00:00:04.946000,-0.065,-0.085
0 days 00:00:04.948000,-0.065,-0.09
0 days 00:00:04.950000,-0.07,-0.09
0 days 00:00:04.952000,-0.055,-0.095
0 days 00:00:04.954000,-0.06,-0.1
0 days 00:00:04.956000,-0.075,-0.1
0 days 00:00:04.958000,-0.095,-0.105
0 days 00:00:04.960000,-0.105,-0.105
0 days 00:00:04.962000,-0.12,-0.105
0 days 00:00:04.964000,-0.11,-0.105
0 days 00:00:04.966000,-0.075,-0.105
0 days 00:00:04.968000,-0.08,-0.105
0 days 00:00:04.970000,-0.07,-0.105
0 days 00:00:04.972000,-0.06,-0.1
0 days 00:00:04.974000,-0.08,-0.1
0 days 00:00:04.976000,-0.095,-0.1
0 days 00:00:04.978000,-0.11,-0.1
0 days 00:00:04.980000,-0.1,-0.1
0 days 00:00:04.982000,-0.09,-0.095
0 days 00:00:04.984000,-0.095,-0.095
0 days 00:00:04.986000,-0.085,-0.09
0 days 00:00:04.988000,-0.075,-0.085
0 days 00:00:04.990000,-0.075,-0.085
0 days 00:00:04.992000,-0.065,-0.085
0 days 00:00:04.994000,-0.08,-0.085
0 days 00:00:04.996000,-0.1,-0.085
0 days 00:00:04.998000,-0.1,-0.085
0 days 00:00:05,-0.1,-0.09
0 days 00:00:05.002000,-0.1,-0.095
0 days 00:00:05.004000,-0.09,-0.095
0 days 00:00:05.006000,-0.09,-0.1
0 days 00:00:05.008000,-0.08,-0.1
0 days 00:00:05.010000,-0.095,-0.105
0 days 00:00:05.012000,-0.09,-0.105
0 days 00:00:05.014000,-0.1,-0.11
0 days 00:00:05.016000,-0.105,-0.115
0 days 00:00:05.018000,-0.125,-0.115
0 days 00:00:05.020000,-0.145,-0.12
0 days 00:00:05.022000,-0.145,-0.115
0 days 00:00:05.024000,-0.115,-0.11
0 days 00:00:05.026000,-0.075,-0.09
0 days 00:00:05.028000,-0.02,-0.065
0 days 00:00:05.030000,0.035,-0.02
0 days 00:00:05.032000,0.09,0.03
0 days 00:00:05.034000,0.12,0.1
0 days 00:00:05.036000,0.18,0.175
0 days 00:00:05.038000,0.245,0.26
0 days 00:00:05.040000,0.325,0.35
0 days 00:00:05.042000,0.425,0.435
0 days 00:00:05.044000,0.555,0.51
0 days 00:00:05.046000,0.64,0.57
0 days 00:00:05.048000,0.65,0.605
0 days 00:00:05.050000,0.645,0.61
0 days 00:00:05.052000,0.595,0.59
